Patient	Sample	Type	Retrogene	Variant_Type	EXP
129	129T	Tumor	NO	NA	2548.489
130	130N	Normal	NO	NA	6585.686
130	130T	Tumor	NO	NA	6235.917
132	132N	Normal	NO	NA	4720.352
132	132T	Tumor	NO	NA	2799.574
137	137N	Normal	NO	NA	8754.723
137	137T	Tumor	NO	NA	3923.134
138	138N	Normal	NO	NA	8587.348
138	138T	Tumor	YES	Somatic	8902.882
139	139N	Normal	NO	NA	15919.439
139	139T	Tumor	NO	NA	12170.277
140	140N	Normal	NO	NA	3048.879
140	140T	Tumor	NO	NA	3223.338
141	141N	Normal	NO	NA	4614.599
141	141T	Tumor	NO	NA	608.599
144	144N	Normal	NO	NA	319.622
144	144T	Tumor	NO	NA	10217.613
145	145N	Normal	NO	NA	6013.307
145	145T	Tumor	NO	NA	3141.633
146	146N	Normal	NO	NA	11475.541
146	146T	Tumor	NO	NA	5586.646
147	147N	Normal	NO	NA	10436.142
147	147T	Tumor	NO	NA	2490.475
150	150N	Normal	NO	NA	31.411
150	150T	Tumor	NO	NA	1230.535
152	152N	Normal	NO	NA	7658.679
152	152T	Tumor	NO	NA	925.22
154	154N	Normal	NO	NA	39.315
154	154T	Tumor	NO	NA	4079.261
157	157N	Normal	NO	NA	4548.354
157	157T	Tumor	NO	NA	132.143
158	158N	Normal	NO	NA	17938.271
158	158T	Tumor	NO	NA	5742.503
159	159N	Normal	NO	NA	13666.891
159	159T	Tumor	NO	NA	6261.531
161	161N	Normal	NO	NA	4986.217
161	161T	Tumor	NO	NA	6798.926
162	162N	Normal	NO	NA	3106.816
162	162T	Tumor	NO	NA	3049.49
163	163N	Normal	NO	NA	2932.3
163	163T	Tumor	NO	NA	1666.158
166	166N	Normal	NO	NA	8595.983
166	166T	Tumor	NO	NA	17749.272
167	167N	Normal	NO	NA	10876.809
167	167T	Tumor	NO	NA	6959.922
168	168N	Normal	NO	NA	5658.048
168	168T	Tumor	NO	NA	11933.542
169	169N	Normal	NO	NA	18859.082
169	169T	Tumor	NO	NA	1328.549
170	170N	Normal	NO	NA	7260.476
170	170T	Tumor	NO	NA	6648.981
174	174N	Normal	NO	NA	12252.294
174	174T	Tumor	NO	NA	6236.648
175	175N	Normal	NO	NA	5390.761
175	175T	Tumor	NO	NA	1359.143
176	176N	Normal	NO	NA	30228.153
176	176T	Tumor	NO	NA	8353.958
177	177N	Normal	NO	NA	24849.374
177	177T	Tumor	NO	NA	8882.585
178	178N	Normal	NO	NA	7017.088
178	178T	Tumor	NO	NA	13152.274
179	179N	Normal	NO	NA	13669.883
179	179T	Tumor	NO	NA	5726.641
180	180N	Normal	NO	NA	9986.398
180	180T	Tumor	NO	NA	17615.542
181	181N	Normal	NO	NA	8073.643
181	181T	Tumor	NO	NA	5504.99
182	182N	Normal	NO	NA	16499.173
182	182T	Tumor	NO	NA	3628.202
183	183N	Normal	NO	NA	4849.729
183	183T	Tumor	NO	NA	106.632
184	184N	Normal	NO	NA	5848.037
184	184T	Tumor	NO	NA	1504.426
185	185N	Normal	NO	NA	4215.652
185	185T	Tumor	NO	NA	10554.551
186	186N	Normal	NO	NA	4021.209
186	186T	Tumor	NO	NA	1075.103
188	188N	Normal	NO	NA	12407.308
188	188T	Tumor	NO	NA	8434.464
191	191N	Normal	NO	NA	13139.451
191	191T	Tumor	NO	NA	6769.442
192	192N	Normal	NO	NA	11166.413
192	192T	Tumor	NO	NA	4424.132
194	194N	Normal	NO	NA	10553.662
194	194T	Tumor	NO	NA	9243.036
195	195N	Normal	NO	NA	4371.68
195	195T	Tumor	NO	NA	1510.911
196	196N	Normal	NO	NA	6072.581
196	196T	Tumor	NO	NA	6066.417
197	197N	Normal	NO	NA	14025.274
197	197T	Tumor	NO	NA	3130.611
198	198N	Normal	NO	NA	6964.786
198	198T	Tumor	NO	NA	2304.076
200	200N	Normal	NO	NA	4243.352
200	200T	Tumor	NO	NA	83.371
201	201N	Normal	NO	NA	7162.356
201	201T	Tumor	NO	NA	6836.703
202	202N	Normal	NO	NA	5398.51
202	202T	Tumor	NO	NA	3566.219
203	203N	Normal	NO	NA	7316.437
203	203T	Tumor	NO	NA	4149.178
204	204N	Normal	NO	NA	11907.312
204	204T	Tumor	NO	NA	9129.197
205	205N	Normal	NO	NA	17797.372
205	205T	Tumor	NO	NA	5635.321
207	207N	Normal	NO	NA	4794.928
207	207T	Tumor	NO	NA	2118.224
208	208N	Normal	NO	NA	1797.514
208	208T	Tumor	NO	NA	3612.926
209	209N	Normal	NO	NA	11200.906
209	209T	Tumor	NO	NA	7327.677
210	210N	Normal	NO	NA	19508.904
210	210T	Tumor	NO	NA	1181.334
211	211N	Normal	NO	NA	8472.335
211	211T	Tumor	NO	NA	3109.073
212	212N	Normal	NO	NA	1506.976
212	212T	Tumor	NO	NA	8108.57
213	213N	Normal	NO	NA	8793.885
213	213T	Tumor	NO	NA	6282.747
214	214N	Normal	NO	NA	9611.684
214	214T	Tumor	NO	NA	10746.488
215	215N	Normal	NO	NA	12870.369
215	215T	Tumor	NO	NA	124.454
217	217N	Normal	NO	NA	15780.813
217	217T	Tumor	NO	NA	10589.424
218	218N	Normal	NO	NA	10663.671
218	218T	Tumor	NO	NA	3939.467
219	219N	Normal	NO	NA	5247.188
219	219T	Tumor	NO	NA	6276.579
